Reference,Value,Footprint,Manufacturer,MPN,Assembly,Notes
R3,10k,Leaf:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,Yageo,RC1206FR-0710KL,HAND,
C8,1uF / 25V,Leaf:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,KEMET,C1206C105K3RACTU,HAND,
C9,10uF / 16V,Leaf:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,KEMET,C1206C106K4RACTU,HAND,
C10,100nF / 50V,Leaf:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,KEMET,C1206C104K5RACTU,HAND,
R4,10k,Leaf:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,Yageo,RC1206FR-0710KL,HAND,
R5,10k,Leaf:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,Yageo,RC1206FR-0710KL,HAND,
R6,10k,Leaf:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,Yageo,RC1206FR-0710KL,HAND,
SW1,RESET,Leaf:SW_PUSH_6mm_H4.3mm__Hand,C&K / Littelfuse,PTS645SL43-2 LFS,HAND,"Straight THT, 4.3 mm actuator, 6.5 x 4.5 mm contact centres. Current manufacturer series sheet specifies -40 to +85 C; confirm supplied variant against that sheet because distributor metadata differs."
SW2,BOOT,Leaf:SW_PUSH_6mm_H4.3mm__Hand,C&K / Littelfuse,PTS645SL43-2 LFS,HAND,"Straight THT, 4.3 mm actuator, 6.5 x 4.5 mm contact centres. Current manufacturer series sheet specifies -40 to +85 C; confirm supplied variant against that sheet because distributor metadata differs."
R7,1M / 1%,Leaf:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,Yageo,RC1206FR-071ML,HAND,Protected VPWR divider; TMUX1511 isolates it from the unpowered MCU. ADC multiplier includes R26.
R8,47k / 1%,Leaf:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,Yageo,RC1206FR-0747KL,HAND,
C11,100nF / 50V,Leaf:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,KEMET,C1206C104K5RACTU,HAND,
R9,1k,Leaf:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,Yageo,RC1206FR-071KL,HAND,
D6,GREEN / status,Leaf:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder__Hand,Lite-On,LTST-C150KGKT,HAND,1206 green LED. Cathode is pad 1 / GND; match package cathode mark to K on board.
U3,TCAN3404DRQ1,Leaf:SOIC8_Hand_Access__Hand,Texas Instruments,TCAN3404DRQ1,HAND,Rev F only: pin 5 SHDN is tied to GND; pin 8 STB remains MCU-controlled with pull-up. Not interchangeable with TCAN3403 on this PCB.
R10,10k,Leaf:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,Yageo,RC1206FR-0710KL,HAND,
C12,100nF / 50V,Leaf:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,KEMET,C1206C104K5RACTU,HAND,
C13,100nF / 50V,Leaf:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,KEMET,C1206C104K5RACTU,HAND,Additional 3V3-to-GND bypass retained. U3 pin 5 is now SHDN/GND and must not connect to this capacitor's 3V3 terminal.
D4,PESD2CAN,Leaf:SOT-23_Handsoldering__Hand,Nexperia,"PESD2CAN,215",HAND,
C14,100nF / 50V,Leaf:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,KEMET,C1206C104K5RACTU,HAND,Local UART ESD reference-rail bypass.
U4,USBLC6-2SC6 / UART ESD,Leaf:SOT-23-6__Factory,STMicroelectronics,USBLC6-2SC6,FACTORY,UART service connector ESD protection. Pins 1/6 and 3/4 are feed-through channels; pin 5 references 3.3 V. Not a USB interface.
J3,UART / 3.3V LOGIC,Leaf:PinHeader_1x03_P2.54mm_Vertical__Hand,Harwin,M20-9990346,HAND,Hand solder on top. Pin 1 GND; 2 board RX (adapter TX); 3 board TX (adapter RX). No supply pin. 3.3 V logic only; no RS-232. Header origin is pin 1.
R18,1k,Leaf:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,Yageo,RC1206FR-071KL,HAND,"UART service series resistance; 115200 baud initial programming, short leads. Not a 5 V level shifter."
R19,1k,Leaf:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,Yageo,RC1206FR-071KL,HAND,"UART service series resistance; 115200 baud initial programming, short leads. Not a 5 V level shifter."
R20,10k,Leaf:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,Yageo,RC1206FR-0710KL,HAND,Hold UART RX at idle high when the programming lead is absent.
C15,47uF / 63V,Leaf:CP_Radial_D6.3mm_P2.50mm__Hand,Panasonic,EEU-FR1J470H,HAND,"47 uF, 63 V FR series; taped straight leads, 6.3 mm diameter x 11.2 mm height, 2.5 mm pitch. Packaging substitute for backordered EEU-FR1J470; trim leads after soldering."
R21,1R / 1.5W,Leaf:R_2512_Hand,Vishay,CRCW25121R00FKEGHP,HAND,Pulse-capable 2512 damping resistor; not in series with the main supply.
U5,TPS3760A012DYYR,Leaf:TI_DYY0014A__Factory,Texas Instruments,TPS3760A012DYYR,FACTORY,"Exact A012 UV, 0.8 V, 2% hysteresis, active-low open drain, NON-latching variant. Factory fit. Rev G.1: Catalog grade, not AEC-Q100; 65 V operating maximum, no Q1 70 V/50 ms operating allowance. User-approved prototype substitution."
R22,680k / 0.1%,Leaf:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,Yageo,RT1206BRD07680KL,HAND,"Precision 0.1%, 25 ppm/C cutoff divider. Do not substitute the 1% general-purpose part."
R23,47k / 0.1%,Leaf:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,Yageo,RT1206BRD0747KL,HAND,"Precision 0.1%, 25 ppm/C cutoff divider. R8 remains a separate 1% ADC resistor."
R24,10M / 1%,Leaf:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,Yageo,RC1206FR-0710ML,HAND,
R25,470k / 1%,Leaf:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,Yageo,RC1206FR-07470KL,HAND,
C16,220nF / 100V,Leaf:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,KEMET,C1206C224K1RACTU,HAND,
C17,100nF / 50V,Leaf:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,KEMET,C1206C104K5RACTU,HAND,
C18,10uF / 16V,Leaf:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,KEMET,C1206C106K4RACTU,HAND,CTS: nominal 1.27 s sense delay before DC-bias/tolerance effects. Within TI recommended maximum 10 uF.
C19,10uF / 16V,Leaf:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,KEMET,C1206C106K4RACTU,HAND,CTR: nominal 12.7 s recovery delay before DC-bias/tolerance effects. Within TI recommended maximum 10 uF.
U6,TMUX1511PWR,Leaf:TSSOP-14_4.4x5mm_P0.65mm__Factory,Texas Instruments,TMUX1511PWR,FACTORY,Channel 1 isolates battery ADC. Powered-off I/O protection to 3.6 V. All unused channels grounded. Factory fit.
R26,100k / 1%,Leaf:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,Yageo,RC1206FR-07100KL,HAND,
C20,100nF / 50V,Leaf:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,KEMET,C1206C104K5RACTU,HAND,
