References,Value,Manufacturer,MPN,Qty for ONE board,Qty for TWO boards,Footprint,Datasheet,Notes
R2,43.2k / 1%,Yageo,RC1206FR-0743K2L,1,2,Leaf:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,
"R3,R4,R5,R6,R10,R20",10k,Yageo,RC1206FR-0710KL,6,12,Leaf:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,Hold UART RX at idle high when the programming lead is absent.
"C9,C18,C19",10uF / 16V,KEMET,C1206C106K4RACTU,3,6,Leaf:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder__Hand,https://search.kemet.com/component-documentation/download/specsheet/C1206C106K4RACTU,CTR: nominal 12.7 s recovery delay before DC-bias/tolerance effects. Within TI recommended maximum 10 uF. | CTS: nominal 1.27 s sense delay before DC-bias/tolerance effects. Within TI recommended maximum 10 uF.
"SW1,SW2",RESET,C&K / Littelfuse,PTS645SL43-2 LFS,2,4,Leaf:SW_PUSH_6mm_H4.3mm__Hand,https://www.ckswitches.com/media/1471/pts645.pdf,"Straight THT, 4.3 mm actuator, 6.5 x 4.5 mm contact centres. Current manufacturer series sheet specifies -40 to +85 C; confirm supplied variant against that sheet because distributor metadata differs."
R7,1M / 1%,Yageo,RC1206FR-071ML,1,2,Leaf:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,Protected VPWR divider; TMUX1511 isolates it from the unpowered MCU. ADC multiplier includes R26.
R8,47k / 1%,Yageo,RC1206FR-0747KL,1,2,Leaf:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,
"R9,R18,R19",1k,Yageo,RC1206FR-071KL,3,6,Leaf:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,https://www.yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L,"UART service series resistance; 115200 baud initial programming, short leads. Not a 5 V level shifter."
D6,GREEN / status,Lite-On,LTST-C150KGKT,1,2,Leaf:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder__Hand,,1206 green LED. Cathode is pad 1 / GND; match package cathode mark to K on board.
U3,TCAN3404DRQ1,Texas Instruments,TCAN3404DRQ1,1,2,Leaf:SOIC8_Hand_Access__Hand,https://www.ti.com/lit/gpn/TCAN3404-Q1,Rev F only: pin 5 SHDN is tied to GND; pin 8 STB remains MCU-controlled with pull-up. Not interchangeable with TCAN3403 on this PCB.
D4,PESD2CAN,Nexperia,"PESD2CAN,215",1,2,Leaf:SOT-23_Handsoldering__Hand,https://assets.nexperia.com/documents/data-sheet/PESD2CAN.pdf,
J3,UART / 3.3V LOGIC,Harwin,M20-9990346,1,2,Leaf:PinHeader_1x03_P2.54mm_Vertical__Hand,https://www.harwin.com/products/M20-9990346,Hand solder on top. Pin 1 GND; 2 board RX (adapter TX); 3 board TX (adapter RX). No supply pin. 3.3 V logic only; no RS-232. Header origin is pin 1.
C15,47uF / 63V,Panasonic,EEU-FR1J470H,1,2,Leaf:CP_Radial_D6.3mm_P2.50mm__Hand,https://industrial.panasonic.com/ww/products/pt/aluminum-cap-lead/models/EEUFR1J470,"47 uF, 63 V FR series; taped straight leads, 6.3 mm diameter x 11.2 mm height, 2.5 mm pitch. Packaging substitute for backordered EEU-FR1J470; trim leads after soldering."
R21,1R / 1.5W,Vishay,CRCW25121R00FKEGHP,1,2,Leaf:R_2512_Hand,https://www.vishay.com/docs/20043/crcwhpe3.pdf,Pulse-capable 2512 damping resistor; not in series with the main supply.
R22,680k / 0.1%,Yageo,RT1206BRD07680KL,1,2,Leaf:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,https://www.yageogroup.com/component-documentation/download/specsheet/RT1206BRD07680KL,"Precision 0.1%, 25 ppm/C cutoff divider. Do not substitute the 1% general-purpose part."
R23,47k / 0.1%,Yageo,RT1206BRD0747KL,1,2,Leaf:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,https://www.yageogroup.com/component-documentation/download/specsheet/RT1206BRD0747KL,"Precision 0.1%, 25 ppm/C cutoff divider. R8 remains a separate 1% ADC resistor."
R24,10M / 1%,Yageo,RC1206FR-0710ML,1,2,Leaf:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,https://www.yageogroup.com/component-documentation/download/specsheet/RC1206FR-0710ML,
R25,470k / 1%,Yageo,RC1206FR-07470KL,1,2,Leaf:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder__Hand,https://www.yageogroup.com/component-documentation/download/specsheet/RC1206FR-07470KL,
